original_loan_amount,outstanding_principal,annual_interest_rate,annual_interest_burden,amount_repaid,new_loan_amount,expected_annual_profit,repayment_ratio,interest_to_profit_ratio,outstanding_to_profit_ratio,new_borrowing_ratio,loan_distress_score
85390.21349652886,42342.008417867844,14.018906167245284,5935.886429427993,57397.60677154802,0.0,27855.845814273016,0.6721801529853447,0.21309302431543875,1.5200403068059878,0.0,24.79345336448359
466518.2146376282,281068.5285836562,19.16977785070542,53880.21253773335,305112.7439320661,43384.87189507759,141673.395195328,0.5983739890786007,0.3803128488835014,1.9839189157296702,0.3062316099311517,37.404216209653484
212511.8540318174,133165.33063689453,6.750907199066061,8989.867892626236,139883.79636035033,25566.323875339884,43075.025170540044,0.5875540446000072,0.2087025569232773,3.0914742384867884,0.5935300971762462,42.51767980176477
151941.383066393,80973.86409703681,4.589218130875936,3716.067252412053,94623.35862580825,0.0,63821.28177043767,0.6227622568399367,0.05822614572014681,1.2687596026086756,0.0,16.80770144326859
40443.730569351945,13799.702843455401,8.442611412772651,1165.0552871902778,44474.845169373395,6712.106151133505,362643.44961146207,0.9431461355037863,0.003212674290514619,0.03805308729067206,0.018508830528511922,6.348025671531364
40439.44378719077,12634.857660058493,21.634971582168596,2733.547864201107,37072.78150284304,0.0,177345.61761671843,0.9167480566235156,0.015413675854730647,0.07124426207906139,0.0,8.741471707480335
23975.815291302104,72973.11955686109,18.917645327380107,13804.795942092029,11625.788614966132,57716.64572678358,205741.2723563619,0.14231164626552661,0.06709784470556258,0.3546839130578781,0.28053022646235654,36.804389465243474
316684.62967199093,128203.11985759152,14.725588963514738,18878.66446863107,274440.7382304316,17349.043858424295,62370.50670262804,0.82159602452608,0.3026857639403401,2.055508711334384,0.2781610215408636,23.060888714050115
152862.3230440897,128221.87693508666,20.726480474376448,26575.882286829736,32853.92814533737,0.0,342540.86630686815,0.21492495659549407,0.07758455968585513,0.3743257799208635,0.0,30.30454154582768
199687.50925568855,162507.1165397056,12.015024103070404,19525.26922145034,139004.65052612865,67073.09517861351,389464.0232277139,0.5210838790116881,0.050133691578577985,0.41725835211405415,0.17221897576762016,21.250548867527264
